Female,4,3,3,4,4
Female,4,4,4,4,5
Male,5,2,5,5,4
Male,4,3,5,5,5
Female,2,4,3,5,5
Female,4,3,3,5,4
Female,4,3,4,5,4
Male,5,1,5,5,1
Male,5,5,4,5,4
Male,4,4,4,4,4
Male,3,3,3,4,4
Male,5,5,5,5,5
Male,3,1,5,5,3
Female,1,2,5,5,5
Male,2,1,3,5,5
Female,3,5,4,5,4
Female,5,1,4,5,3
Male,1,2,5,3,4
Female,3,2,5,5,2
Female,4,2,4,4,4
Female,5,3,3,3,3
Male,5,1,5,5,4
Male,5,3,4,5,4
Female,4,2,5,5,4
Female,5,1,5,5,4
Male,4,3,3,4,4
Female,3,2,5,5,5
Female,4,3,5,5,5
Female,5,1,5,5,4
Male,4,4,4,4,4
Male,4,2,5,5,3
Male,3,1,5,5,4
Male,3,3,3,4,4
Male,4,1,3,5,3
Female,2,2,5,5,4
Male,4,3,4,5,4
Male,3,1,2,5,5
Male,4,2,4,5,4
Female,3,5,5,5,4
Male,5,2,4,5,5
Male,3,5,5,5,5
Male,3,3,3,3,3
Male,4,4,3,3,3
Female,4,2,4,5,3
Male,5,2,3,5,3
Female,3,5,5,5,5
Male,4,1,4,5,3
Female,5,1,5,5,3
Female,5,3,5,5,4
Male,4,2,4,3,4
Male,2,5,2,2,5
Male,3,3,3,3,3
Male,5,1,5,5,3
Male,5,5,5,5,3
Female,4,2,4,4,5
Female,3,3,4,4,4
Female,1,4,1,1,4
Female,2,4,2,2,5
Female,4,3,5,5,2
Female,2,4,2,2,4
Female,1,5,2,3,3
Male,4,3,4,3,4
Female,4,2,4,3,4
Female,4,3,4,5,4
Male,3,5,3,4,4
Male,4,3,5,5,4
Male,3,4,3,4,4
Female,2,5,3,2,4
Male,4,2,5,4,3
Female,2,4,3,3,4
Female,5,3,5,5,5
Female,5,3,4,5,4
Male,4,3,4,4,4
Female,5,2,5,5,4
Male,4,2,5,4,4
Male,4,3,5,5,4
Female,4,3,3,3,4
Female,4,4,2,2,4
Female,3,5,3,3,5
Female,4,4,2,1,4
Female,5,4,3,3,4
Male,4,5,5,5,5
Male,2,5,5,2,3
Male,4,3,3,5,5
Female,4,3,4,4,4
Female,5,4,5,5,4
Male,3,2,5,4,3
Male,4,2,2,2,3
Female,3,3,3,3,3
Female,5,4,3,2,1
Male,1,2,3,4,5
Male,4,4,3,3,4
Male,2,1,3,2,1
Female,5,4,4,4,3
Female,1,2,4,3,5
Female,2,2,3,3,5
Female,3,4,3,4,5
Female,3,4,2,4,1
Female,5,3,4,3,4
Male,4,3,3,2,4
